X;Y;osm_id;type;name;brand;operator;network;wheelchair;opening_hours;bank_id_code;has_atm;brand_wikidata;com_insee;com_nom
2.3048492;48.7532598997535;node/1020408750;bank;Crédit Agricole;Crédit Agricole;Crédit Agricole;;;;;yes;Q590952;92002;Antony
2.3065029;48.7579376997524;node/1737511242;atm;La Banque Postale;;;;;;;yes;;92002;Antony
2.3024314;48.7540436997533;node/1967475687;bank;Société Générale;Société Générale;;;yes;"Tu,We,Fr 09:00-13:00,14:15-17:50; Th 09:00-12:30,14:30-17:50; Sa 08:45-12:45";;yes;Q270363;92002;Antony
2.3027182;48.7411020997565;node/3999361603;atm;;;Société Générale;;;;;yes;;92002;Antony
2.3025863;48.7404888997567;node/3999361605;atm;;;BNP Paribas;;;;;yes;;92002;Antony
2.2829879;48.7413076997565;node/4005871152;bank;La Banque Postale;La Banque Postale;;;;;;yes;Q3206431;92002;Antony
2.2896484;48.739078999757;node/4080317461;atm;;;La Banque Postale;;;;;yes;;92002;Antony
2.3020209;48.7539445997534;node/4465903272;atm;;;CIC;;;;;yes;;92002;Antony
2.3024928;48.7398467997568;node/4878890518;atm;;;La Banque Postale;;;;;yes;;92002;Antony
2.3043309;48.751237899754;node/4890127028;atm;;;LCL;;;;;yes;;92002;Antony
2.3023309;48.739039599757;node/5210091693;atm;;;Banque Populaire;;;;;yes;;92002;Antony
2.3072372;48.7586657997522;node/5226705101;atm;;;BCP;;;;;yes;;92002;Antony
2.3046213;48.7534211997535;node/5268037243;bank;Caisse d'Épargne;Caisse d'Épargne;;;;;;;Q1547738;92002;Antony
2.3039126;48.7535650997534;node/5268037918;atm;;;BNP Paribas;;;;;yes;;92002;Antony
2.303812;48.7535843997534;node/5268037938;bank;BNP Paribas;BNP Paribas;;;;;;;Q499707;92002;Antony
2.3049939;48.7526599997536;node/6257621601;bank;Crédit Mutuel;Crédit Mutuel;;;;;;yes;Q642627;92002;Antony
2.3159275;48.7694510997495;node/924567287;atm;;;La Banque Postale;;;;;yes;;92002;Antony
2.3083621;48.7614880997515;node/930520775;bank;Le Crédit Lyonnais;LCL;LCL;;;;;yes;Q779722;92002;Antony
2.3082343;48.7621857997513;node/938294452;bank;Crédit Mutuel Enseignant;Crédit Mutuel;Crédit Mutuel;;;;;yes;Q642627;92002;Antony
2.3043458;48.751314599754;node/945778405;bank;LCL;LCL;LCL;;;"Tu-Fr 09:00-12:30; Tu,We,Fr 14:00-18:00; Sa 09:00-13:00,14:00-16:00; Th 15:00-18:00";;;Q779722;92002;Antony
2.3081171;48.7608189997516;node/956093260;bank;BNP Paribas;BNP Paribas;BNP Paribas;;;;;yes;Q499707;92002;Antony
