y;x;name;type;adress
48.754897;2.366262;Agence Chronopost Rungis;Agence Chronopost;Centre technique routier D, 3 Rue des Transports, 94150 Rungis
48.714794;2.302966;Agence Chronopost Massy;Agence Chronopost;au Berger, 2 rue Saint-Exupéry ZA La Butte, 91380 Chilly-Mazarin
48.967846;2.490294;Agence Chronopost Aulnay;Agence Chronopost;43 Boulevard André Citroën, 93600 Aulnay-sous-Bois
48.911495;2.433059;Agence Chronopost Bobigny;Agence Chronopost;165 Avenue Henri Barbusse, 93000 Bobigny
48.842213;2.301509;Agence Chronopost Lecourbe;Agence Chronopost;Chrono City, 123 Rue Lecourbe, 75015 Paris
48.781472;2.427903;Agence Chronopost de Brie-Comte-Robert;Agence Chronopost;2 Chemin de Villeneuve Saint-Georges, 94140 Alfortville
48.755959;1.930983;Agence Chronopost de Versailles;Agence Chronopost;6 Rue André Marie Ampère, 78310 Coignières
48.953458;2.193233;Agence Chronopost de Cormeilles en Parisis;Agence Chronopost;6 Allée du 7ème Art, 95240 Cormeilles-en-Parisis
48.898284;2.365380;Agence Chronopost Paris boulevard Ney;Agence Chronopost;11-13 Boulevard Ney, 75018 Paris
48.942985;2.310899;Agence Chronopost Villeneuve-la-Garenne;Agence Chronopost;155 Boulevard Charles de Gaulle, 92390 Villeneuve-la-Garenne
49.038502;2.153472;Agence Chronopost Cergy;Agence Chronopost;30 Avenue du Fief, 95310 Saint-Ouen-l'Aumône
48.990935;2.542882;Agence Chronopost Roissy;Agence Chronopost;Cargo 7, 9 Rue du Haut de Laval, 95700 Roissy-en-France
48.821819;2.722362;Agence Chronopost Marne La Vallée;Agence Chronopost;15 Avenue Joseph Froelicher, 77164 Ferrières-en-Brie
48.949716;2.286061;La Poste Plateforme Colis Gennevilliers; ;27 Route Principale du Port, 92230 Gennevilliers
48.908057;2.209987;Plate-forme Colis La Poste Nanterre;Agence Coliposte;Chemin d'Accès À l'Usine Électrique, 92000 Nanterre
49.025419;2.118881;Agence Coliposte Herblay;Agence Coliposte;24 Rue du Gros Murger, 95220 Herblay
48.800336;2.305234;Agence Coliposte Bagneux;Agence Coliposte;Allée du Parc de Garlande, 92220 Bagneux
48.779825;2.203774;Agence Coliposte Vélizy;Agence Coliposte;2 Rue Grange Dame Rose, 78140 Vélizy-Villacoublay
48.777976;2.432886;Agence Colissimo Créteil;Agence Colissimo;2 Chemin des Marais, 94000 Créteil
48.902305;2.367363;Agence ColiPoste La Plaine Saint-Denis;Agence Coliposte;Ave. des Dockers, 93300 Aubervilliers


